"","species","Common_name","COM1","COM2","COM3","COM4","COM5","COM6","COM7","COM8","COM9","COM10","COM11","COM12","COM13"
"1","Ammodytes personatus","Pacific sandlance",9.7,28.7,0,0,0,0,10.6,6.7,20,0,9.2,10.2,0
"2","Blepsias cirrhosus","Silverspotted sculpin",10.5,0,0,0,5.5,0,1.1,3.6,4.3,0,0,5.5,4.8
"3","Clupea pallasii","Pacific herring",0,4.6,33.5,0,0,0,0,5.3,0,0,0,0,0
"4","Cymatogaster aggregata","Shiner perch",9.7,0,0,0,25.6,56.7,0,16.7,20,0,9.2,0,8.9
"5","Gadus macrocephalus","Pacific cod",0,0,0,7.6,0,0,3.7,6.3,7.6,10.4,0,0,0
"6","Gasterosteus aculeatus","Three-spine stickleback",0,0,0,0,0,0,0,0,0,0,44.4,24.5,64.5
"7","Hexagrammos stelleri","Whitespotted greenling",10,0,4.3,0,5.2,4,3.9,6.8,8.2,11.2,9.4,10.4,4.6
"8","Lepidopsetta bilineata","Pacific rock sole",0,2.8,4.1,0,0,2.5,0,3.2,0,10.6,0,0,0
"9","Leptocottus armatus","Pacific staghorn sculpin",9.2,5.4,4,0,12.1,18.5,0,0,0,0,4.4,0,0
"10","Limanda aspera","Yellowfin sole",0,2.7,4,3.8,2.4,1.1,0,0,0,0,0,0,4.3
"11","Lumpenus sagitta","Snake prickleback",11.3,0,9.8,0,14.9,12,2.5,7.8,0,0,10.7,0,0
"12","Oncorhynchus gorbuscha","Pink salmon",0,20.8,15.3,28.9,0,0,0.8,12.1,2.9,0,3.3,3.7,0
"13","Oncorhynchus keta","Chum salmon",10.2,29.9,8.8,20.8,0,0,0,7,0,0,0,0,0
"14","Oncorhynchus kisutch","Coho salmon",9,0,3.9,18.4,4.7,0,0,0,0,0,0,0,4.1
"15","Oncorhynchus nerka","Sockeye salmon",0,0,0,9.8,0,0,0,0,0,0,0,0,0
"16","Oncorhynchus tshawytscha","Chinook salmon",0,0,0,6.5,0,0,0,0,0,0,0,0,0
"17","Ophiodon elongatus","Lingcod",0,0,0,0,4.3,0,41.9,5.6,16.9,9.3,0,4.3,0
"18","Pholis laeta","Crescent gunnels",10.5,0,0,4.3,0,3.3,31.6,3.6,8.6,0,0,11,0
"19","Sebastes auriculatus","Brown rockfish",0,3,0,0,13.3,0,0,0,0,22.8,0,0,4.6
"20","Sebastes caurinus","Copper rockfish",0,0,3.9,0,11.8,0,1.6,6.2,7.4,20.3,0,4.7,4.1
"21","Sebastes flavidus","Yellowtail rockfish",0,2,0,0,0,0,0,2.4,0,15.5,0,0,0
"22","Syngnathus leptorhynchus","Bay pipefish",9.8,0,8.5,0,0,1.9,2.1,6.7,4,0,9.3,25.6,0
