"","species","Mean","SD","q.025","q.05","q.25","q.75","q.95","q.975","calibration","SP"
"1","Blepsias cirrhosus",0.099390185408467,0.000186547943041607,0.0989873557402488,0.0991117444561153,0.0993095298921088,0.099465883101447,0.0996773598520021,0.0998273180914442,"COM1","Blepsias cirrhosus"
"2","Cymatogaster aggregata",0.10100947909093,0.000183646373722786,0.100591086606596,0.100718111887732,0.100935754488945,0.101088489820632,0.101274071537921,0.101391564514275,"COM1","Cymatogaster aggregata"
"3","Hexagrammos",0.0999179865601103,0.000191534105691109,0.0994934074176104,0.0996356206387984,0.0998353795342916,0.0999886272145318,0.100251415474825,0.100433051475098,"COM1","Hexagrammos"
"4","Leptocottus armatus",0.0998038959905655,0.000210218763648007,0.0993945084377819,0.09949244682451,0.0996970972219897,0.0999109982648978,0.100141546129933,0.100256454149303,"COM1","Leptocottus armatus"
"5","Lumpenus sagitta",0.0997137952758935,0.000317709396434173,0.0990216378346754,0.0992224178369214,0.0995734023006326,0.0998378240988025,0.100236265710263,0.100456642799417,"COM1","Lumpenus sagitta"
"6","Oncorhynchus keta",0.0996059400808419,8.26826598418881e-05,0.099442733332815,0.0994706878074774,0.099554911076751,0.0996560999210682,0.0997413000373098,0.0997713173511659,"COM1","Oncorhynchus keta"
"7","Oncorhynchus kisutch",0.10007477025492,0.000260559283237763,0.0994611316733143,0.0996393364393369,0.0999735056836347,0.100187469578277,0.100477347087312,0.100637975369484,"COM1","Oncorhynchus kisutch"
"8","Pholis laeta",0.100294094278912,0.000240348985761049,0.0997670010373558,0.0999154479052761,0.100195019047312,0.100398492712324,0.100674381980806,0.100832367685633,"COM1","Pholis laeta"
"9","Syngnathus leptorhynchus",0.100300361666865,0.000246889847391659,0.0997240222072321,0.0999195099530399,0.100204323424711,0.100402268244813,0.100668562418203,0.100824772111095,"COM1","Syngnathus leptorhynchus"
"10","zRefSpecies_Ammodytes personatus",0.0998894913924934,7.5196171232579e-05,0.099739661184349,0.0997662100904343,0.0998427717288557,0.0999374516437748,0.100010683812225,0.100036579909418,"COM1","Ammodytes personatus"
"11","Clupea pallasii",0.111536618352484,0.000437304944567642,0.110532101756972,0.110836542651817,0.111342927174285,0.111744152173728,0.112250009092943,0.112454172815544,"COM2","Clupea pallasii"
"12","Lepidopsetta",0.111790020420675,0.000374803484000582,0.110916237125778,0.111186793924764,0.111645318272265,0.111955866158254,0.112345070346981,0.112549839516948,"COM2","Lepidopsetta"
"13","Leptocottus armatus",0.111227043675561,0.000234317300422184,0.110771188859533,0.110875264158084,0.11109909716865,0.11135131034882,0.111577734305227,0.111699168620379,"COM2","Leptocottus armatus"
"14","Oncorhynchus gorbuscha",0.110441827016428,0.000233605561447345,0.10992305431995,0.110052179761377,0.110326918576288,0.110557677657806,0.110796216422393,0.110908876431772,"COM2","Oncorhynchus gorbuscha"
"15","Oncorhynchus keta",0.109138628434465,0.000117556960668141,0.108909808971707,0.108951622241292,0.109064011940288,0.10921024743083,0.109333129771832,0.109385785153267,"COM2","Oncorhynchus keta"
"16","Pleuronectidae 1",0.111674029397268,0.000258912277508682,0.111123368654308,0.111296398852946,0.111565841494686,0.111784745767248,0.112052913005912,0.11221943284655,"COM2","Pleuronectidae 1"
"17","Sebastes 2",0.111342498846348,0.000481179565840748,0.110262110099763,0.110553686200364,0.111148222240965,0.111568468791756,0.112053608133819,0.112295280564906,"COM2","Sebastes 2"
